Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
Gide_Cancer-Cell_2019-27	0.00000000000000000	0.04580834728629238	0.00000000000000000	0.46964514255166284	0.48454651016204475	0.00000000000000000	0.00000000000000000	-0.00953670829693274	1.16852969639568971
Gide_Cancer-Cell_2019-29	0.00000000000000000	0.10404911036827405	0.00000000000000000	0.60322900158444337	0.29272188804728250	0.00000000000000000	0.00000000000000000	-0.02343521631941018	1.20431182822647487
Gide_Cancer-Cell_2019-3	0.00000000000000000	0.24531143647388640	0.00000000000000000	0.16429162858380331	0.59039693494231016	0.00000000000000000	0.00000000000000000	0.04024795936109478	1.17934160603748461
Gide_Cancer-Cell_2019-34	0.00000000000000000	0.17040989099440840	0.23255527415875851	0.08660277762847804	0.51043205721835505	0.00000000000000000	0.00000000000000000	0.13776472687078692	1.07110353858586094
Gide_Cancer-Cell_2019-35	0.00000000000000000	0.30332620589534015	0.24757933229107501	0.09232157488363651	0.35677288692994830	0.00000000000000000	0.00000000000000000	0.35637422450560635	0.97659144268506837
Gide_Cancer-Cell_2019-36	0.01507352143348941	0.35067478005298064	0.05343144072359434	0.02628046995669839	0.55453978783323732	0.00000000000000000	0.00000000000000000	0.08082329181324925	1.20862475239901457
Gide_Cancer-Cell_2019-38	0.08246980224678763	0.67687668957563163	0.07275781868050134	0.02965721852205466	0.13823847097502467	0.00000000000000000	0.00000000000000000	0.25397749765722372	1.31887377216816337
Gide_Cancer-Cell_2019-40	0.00000000000000000	0.36342495892461790	0.20135119140268751	0.08362910582101232	0.35159474385168221	0.00000000000000000	0.00000000000000000	0.22107801547145772	1.09499132808368782
Gide_Cancer-Cell_2019-41	0.11353057730387570	0.48651442933164674	0.00000000000000000	0.00000000000000000	0.39995499336447748	0.00000000000000000	0.00000000000000000	0.10315350147329595	1.27863009745317302
Gide_Cancer-Cell_2019-42	0.11807112062311824	0.04000919179869684	0.00000000000000000	0.11820993277422168	0.72370975480396327	0.00000000000000000	0.00000000000000000	0.04619484844393745	1.14361557997105256
Gide_Cancer-Cell_2019-44	0.00000000000000000	0.22731122545183557	0.35053105401346141	0.08190980151506247	0.34024791901964058	0.00000000000000000	0.00000000000000000	0.24361207979214936	1.01401037498905411
Gide_Cancer-Cell_2019-45	0.06253421991259038	0.31161649644501183	0.24003589335816941	0.08013407488287994	0.30567931540134829	0.00000000000000000	0.00000000000000000	0.23450020296728058	1.05443902246369303
Gide_Cancer-Cell_2019-46	0.00081028709144625	0.29796022686024543	0.14388433150659807	0.09989492732700607	0.45745022721470413	0.00000000000000000	0.00000000000000000	0.14334139717232172	1.11914245655110367
Gide_Cancer-Cell_2019-47	0.00000000000000000	0.72743815864508732	0.11158438982834433	0.02320194727107044	0.13777550425549803	0.00000000000000000	0.00000000000000000	0.33760266395406280	1.29354725073778742
Gide_Cancer-Cell_2019-48	0.08057775301494835	0.15123128936326316	0.10248729411634892	0.15826989212814696	0.50743377137729251	0.00000000000000000	0.00000000000000000	0.28250343075216922	0.99598313057698740
Gide_Cancer-Cell_2019-49	0.00000000000000000	0.27885259218691377	0.06765198233658865	0.19883093294233820	0.45466449253415941	0.00000000000000000	0.00000000000000000	0.13007592725631628	1.12218151980764147
Gide_Cancer-Cell_2019-5	0.00000000000000000	0.30873915011166114	0.00000000000000000	0.15749073326951724	0.53377011661882168	0.00000000000000000	0.00000000000000000	0.04000812869857037	1.20459104017859220
Gide_Cancer-Cell_2019-50	0.00000000000000000	0.35819477578725473	0.17769051489693738	0.17923955270687153	0.28487515660893636	0.00000000000000000	0.00000000000000000	0.11254270794288616	1.15793731983511106
Gide_Cancer-Cell_2019-52	0.16273007743702192	0.49233783480708893	0.00000000000000000	0.00000000000000000	0.34493208775588913	0.00000000000000000	0.00000000000000000	0.24977142188688614	1.17011261475366890
Gide_Cancer-Cell_2019-53	0.04173343208541125	0.06670668985931097	0.39029488216226277	0.15229723263861072	0.34896776325440432	0.00000000000000000	0.00000000000000000	0.15647792675414882	1.01873366277896937
Gide_Cancer-Cell_2019-54	0.22735968407503274	0.31021300080566366	0.08150307615213061	0.00000000000000000	0.38092423896717298	0.00000000000000000	0.00000000000000000	0.23070586743602564	1.06871148839632091
Gide_Cancer-Cell_2019-6	0.00000000000000000	0.08638592388638007	0.56265676622168470	0.04598412410815205	0.30497318578378313	0.00000000000000000	0.00000000000000000	0.19270081129682581	0.99859493769359398
Gide_Cancer-Cell_2019-7	0.06001498854999989	0.65492506950578944	0.06708070771394617	0.00981036599336861	0.20816886823689573	0.00000000000000000	0.00000000000000000	0.24179152460124234	1.30998981467696174
Gide_Cancer-Cell_2019-9	0.05744742722242599	0.28250042451212198	0.00000000000000000	0.04132371667661996	0.61872843158883206	0.00000000000000000	0.00000000000000000	0.10435212342115492	1.16607503618348751
Gide_Cancer-Cell_2019-30	0.01653575215266671	0.24292165371481553	0.00000000000000000	0.00000000000000000	0.74054259413251777	0.00000000000000000	0.00000000000000000	0.09052622922004813	1.18268499962012186
Gide_Cancer-Cell_2019-4	0.02867221724363775	0.54866782239236100	0.14197614258011121	0.08131134860912623	0.19937246917476381	0.00000000000000000	0.00000000000000000	0.29771193797994988	1.16270225315201325
Gide_Cancer-Cell_2019-8	0.00000000000000000	0.18432780589280162	0.00000000000000000	0.00000000000000000	0.81567219410719838	0.00000000000000000	0.00000000000000000	0.01700681331394127	1.22148817080016681
