Samples	CBSX__HNSCC__B_cells	CBSX__HNSCC__T_cells_CD8	CBSX__HNSCC__T_cells_CD4	CBSX__HNSCC__Macrophages	CBSX__HNSCC__Dendritic_cells	CBSX__HNSCC__Mast_cells	CBSX__HNSCC__Myocytes	CBSX__HNSCC__CAFs	CBSX__HNSCC__Endothelial_cells	CBSX__HNSCC__Malignant_cells
LUNG-NSCLC2-0610	0	0	0.10806058257262618	0.11557532687600924	0.00984786032150674	0	0	0.5794745775773831	0.18704165265247483	0
LUNG-NSCLC2-0611	2.2056272153799e-4	0	0.07801767421583251	0.09516298242629556	0.22490996656241807	0	0	0.4425723744242871	0.1591164396496287	0
LUNG-NSCLC2-0612	0	0	0.07140693880191212	0	0.02450064572759961	0	0	0.7767936210225882	0.12729879444790013	0
LUNG-NSCLC2-0613	5.343315681686e-5	0	0.01733548671805938	0	0.00440108179166512	0	0	0.18405751173515003	0.01648257348120942	0.7776699131170993
LUNG-NSCLC2-0614	0	0	0.12575343194756222	0.21769090330543367	0.07267010655978585	0	0	0.4918938938756446	0.06974645452517328	0.02224520978640029
LUNG-NSCLC2-0617	0.00602664983496579	0	0.11656330213239643	0.03622113179221603	0.06027777922641549	0	0	0.38841640628875534	0.04636540410700218	0.34612932661824874
LUNG-NSCLC2-0622	0	0	0.17616036307148472	0.37548553642876087	0.10108439969924708	0	0	0.27591547701867986	0.07135422378182743	0
LUNG-NSCLC2-0623	0	0	0.15525588988311698	0.08790384215402015	0.00299199024051197	0.00187921429704589	0	0.7109525352028137	0.04101652822249151	0
LUNG-NSCLC2-0630	6.2760008205525e-4	0	0.16750860807438417	0.1574854358346536	0.08251285235057254	0	0	0.4362590043297346	0.1556064993285999	0
LUNG-NSCLC2-0631	0	0	0.2692724629799462	0.14220170500215157	0.11644164650474412	0	0	0.41703555826462074	0.0550486272485373	0
LUNG-NSCLC2-0632	0.00578902181270297	0	0.20633781287402336	0.13413952202460286	0.18339169981287912	0	0	0.3843819251650537	0.08596001831073806	0
LUNG-NSCLC2-0633	0	0	0.20271433461751528	0.34504845579213367	0	0	0	0.3402556103590867	0.11198159923126429	0
LUNG-NSCLC2-0635	0.00381836151638697	0	0.06913704589814718	0	0.03706892245230119	0	0	0.6269348541245053	0.26304081600865925	0
LUNG-NSCLC2-0636	0	0	0.1273805887109129	0.279909660147009	0	0	0	0.5289325122944776	0.0637772388476005	0
LUNG-NSCLC2-0641	0	0	0.08231287654790063	0.08708336261011765	0	0.00296415456056252	0	0.7196738059996405	0.10796580028177873	0
LUNG-NSCLC2-0648	0	0	0.09367129240064706	0.20761589989353849	0.01789050663034615	0	0	0.4205573247136093	0.2602649763618592	0
LUNG-NSCLC2-0652	0	0	0.09444507484774768	0.184173831548509	0.02456702541790689	0	0	0.5212501213314644	0.17556394685437204	0
LUNG-NSCLC2-0657	0	0	0.28070305038283105	0.23644480647243565	0.0118452032286393	0	0	0.36330618747433624	0.10770075244175772	0
LUNG-NSCLC2-0660	0.00151063061352821	0	0.2823164736779606	0.13776022193710724	0.07006610698030111	0	0	0.36502267519680026	0.14332389159430262	0
LUNG-NSCLC2-0665	0	0	0.1106752507357346	0.2713549341859084	0.08300738797374092	0	0	0.36611927439681746	0.16884315270779865	0
LUNG-NSCLC2-0672	0.00150169911389978	0	0.20432329120730447	0.18240814018346008	6.2458055068579e-4	0	0	0.3817990386599951	0.00874559533697986	0.22059765494767472
LUNG-NSCLC2-0677	0.00984719006994781	0.05561217092402707	0.21324432579610647	0.15275307355063727	0.1216576896350038	0	0	0.24849726956802728	0.19626961012292685	0.00211867033332361
LUNG-NSCLC2-0678	0	0	0.11474412639900208	0.11520095098619068	0	0	0	0.7065147807033229	0.06354014191148437	0
LUNG-NSCLC2-0679	0.02200431676929034	0	0.2661207966119927	0.23420753997938157	0.04143188071460506	0	0	0.3058374468953365	0.13039801902939385	0
LUNG-NSCLC2-0680	0	0	0.21986358590900865	0.1284645151351739	0.06066558255549672	0	0	0.5910063164003208	0	0
LUNG-NSCLC2-0683	0	0	0.09490641663589976	0.19582668260054584	0.06298551431599804	0	0	0.4301253448750611	0.21615604157249535	0
LUNG-NSCLC2-0685	0	0	0.14495772107437785	0.1741843561494941	0.06099949234541029	0.01141458244887473	0	0.4978180312678629	0.11062581671398015	0
LUNG-NSCLC2-0687	0	0	0.09340735513589953	0.17651308982313726	0.04794685380650439	0	0	0.5391129331952723	0.14301976803918648	0
LUNG-NSCLC2-0689	0	0	0.06621584976295858	0.12077625619473216	0.03247759306897768	0	0	0.4186450029294092	0.3618852980439222	0
LUNG-NSCLC2-0695	0	0	0.08747348145231608	0.01958217032438277	0.099793058199367915	0	0	0.3486189645425373	0.44453232548139593	0
LUNG-NSCLC2-0696	0	0	0.14018831629995937	0.14177153765740133	0.00892193737478076	0.00141400897325415	0	0.5484150332874549	0.15928916640714957	0
LUNG-NSCLC2-0698	3.2675259840571e-4	0	0.31383773116899616	0.15944319694941475	0.0074726913141132	0	0	0.4001420173455197	0.11877761062355063	0
LUNG-NSCLC2-0702	0	0	0	0	0.2648912877745591	0	0	0.5057970498168508	0.22931166240859	0
