Mixture	B.cells	Macrophages.M1	Macrophages.M2	Monocytes	Neutrophils	NK.cells	T.cells.CD4	T.cells.CD8	Tregs	Dendritic.cells	P-value	Correlation	RMSE
IMMU-BC3-0275	0.00000000000000000	0.18987359600400408	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01961144041101825	0.29785985303416246	0.00000000000000000	0.49265511055081523	0.00000000000000000	-0.07026517297494146	1.13858051835028218
IMMU-BC3-0276	0.00000000000000000	0.04610701711742432	0.00000000000000000	0.02894296867817600	0.00000000000000000	0.00000000000000000	0.87987230566685193	0.04507770853754783	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06683817802092386	1.05007617960680055
IMMU-BC3-0278	0.00000000000000000	0.00011262616002367	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.14922519783695706	0.46165133430314781	0.38901084169987149	0.00000000000000000	-0.02631041550832662	1.08622571093235232
IMMU-BC3-0281	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.91903463444929145	0.08096536555070860	0.00000000000000000	0.13281427528326689	1.09013649975705929
IMMU-BC3-0281	0.09641117892251186	0.08399853584875989	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.55856662281549307	0.03443005330553835	0.08754895790290494	0.13904465120479187	0.00000000000000000	0.11577554623553736	1.01813650186437887
IMMU-BC3-0286	0.00000000000000000	0.02219527830806517	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.30393724590697646	0.18979513740124232	0.18440859050860756	0.29966374787510858	0.00000000000000000	0.00197013451649513	1.05945857161736767
IMMU-BC3-0291	0.00493739318365982	0.06899618285658148	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.35802315489256481	0.21300725489706432	0.00000000000000000	0.35503601417012959	0.00000000000000000	0.00923430001664931	1.05797330215773244
IMMU-BC3-0296	0.00000000000000000	0.05472496092188918	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.84141129093682587	0.00000000000000000	0.00000000000000000	0.10386374814128500	0.00000000000000000	0.06445463973243988	1.04428514796425076
IMMU-BC3-0299	0.00137585932962574	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.57133523978337786	0.12827424372907911	0.14826030161077761	0.15075435554713959	0.00000000000000000	0.19844901091332864	1.00263803492760362
IMMU-BC3-0307	0.00000000000000000	0.14192534304661650	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07620019961174054	0.78187445734164296	0.00000000000000000	-0.05941229887452226	1.16912797746244457
